no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,debt_to_income,total_assets,assets_to_loan
1,1,0,7800000,18100000,2,712,8600000,11200000,21700000,9000000,1,2.320512523011215,50500000,2.7900550944720943
2,0,0,9100000,24900000,16,822,22300000,12100000,31000000,5200000,1,2.7362634355754465,70600000,2.835341251592721
3,1,0,1400000,3400000,6,540,200000,1500000,3900000,800000,0,2.42856969387879,6400000,1.8823523875434154
2,1,1,800000,2300000,12,342,2200000,1300000,1800000,800000,0,2.874996406254492,6100000,2.6521727599248868
5,1,0,6500000,13400000,18,787,18200000,300000,16200000,5400000,1,2.061538144378747,40100000,2.9925370901091726
4,1,0,8000000,27800000,16,331,13000000,6300000,21400000,10900000,0,3.4749995656250543,51600000,1.856115041146941
3,0,1,4200000,14600000,6,679,2400000,6900000,8700000,4900000,1,3.476189648526274,22900000,1.568493043253901
1,1,1,4900000,19100000,14,677,5400000,9100000,17700000,6500000,1,3.8979583881717574,38700000,2.0261779043885912
3,0,0,5500000,20500000,12,634,800000,8600000,18500000,8200000,1,3.7272720495869,36100000,1.7609755238548526
1,0,1,9500000,19100000,16,662,100000,10500000,37700000,11700000,1,2.0105261041551468,60000000,3.1413610920753356
4,1,0,7300000,25400000,16,502,500000,1800000,20500000,10500000,0,3.479451578157318,33300000,1.311023570432143
2,1,0,8700000,24700000,10,435,6800000,3500000,21800000,11300000,0,2.839080133439065,43400000,1.7570849491058724
5,0,0,3800000,7600000,4,689,8700000,100000,9300000,3400000,1,1.999999473684349,21500000,2.828946996191185
1,0,1,8400000,23000000,12,657,15400000,14800000,31900000,8200000,1,2.738094912131558,70300000,3.0565216062381912
2,1,1,5100000,19700000,20,590,7400000,9300000,19400000,3400000,1,3.8627443406383644,39500000,2.00507604035147
5,0,0,6700000,24500000,12,818,1200000,5600000,16300000,6200000,1,3.6567158721319593,29300000,1.1959183185339461
2,0,0,4300000,10600000,18,431,2100000,1500000,9300000,5200000,0,2.465115705787045,18100000,1.7075470087219804
5,1,1,9300000,30500000,18,841,19300000,10300000,34600000,8700000,1,3.279569539831232,72900000,2.3901638560602017
1,1,0,7400000,18400000,20,421,18500000,9100000,17500000,4100000,0,2.4864861504748443,49200000,2.6739128981569076
4,0,1,5500000,18200000,16,797,0,4900000,18600000,4800000,1,3.309090307438126,28300000,1.5549449695085182
2,0,0,8500000,18900000,18,478,23800000,16300000,25900000,11400000,0,2.223529150173041,77400000,4.095237878558843
3,0,1,9600000,30500000,18,669,4700000,1900000,26500000,9300000,1,3.1770830023871874,42400000,1.3901638888470855
5,0,1,8800000,28900000,6,365,24400000,8600000,27400000,4700000,0,3.2840905358988026,65100000,2.252595077764876
3,0,1,3300000,7500000,20,586,1600000,5600000,10500000,2900000,1,2.2727265840222475,20600000,2.746666300444493
4,1,1,3900000,12300000,18,784,7600000,6900000,13100000,2800000,1,3.15384534516786,30400000,2.471544514508576
1,1,0,4100000,10300000,12,364,9500000,6100000,14900000,2800000,0,2.5121945092208513,33300000,3.2330093948534566
3,0,0,8300000,29100000,10,715,6100000,11900000,24100000,11900000,1,3.5060236739730515,54000000,1.8556700393240537
0,0,1,2700000,10100000,20,693,200000,1700000,5900000,1400000,0,3.74073935528172,9200000,0.9108909989216832
4,1,0,5600000,12400000,4,777,5500000,3100000,11800000,5500000,1,2.2142853188776215,25900000,2.0887095089750396
0,1,0,1900000,5000000,12,312,4000000,2800000,4900000,2400000,0,2.6315775623275988,14100000,2.8199994360001126
4,0,1,500000,1500000,20,340,100000,200000,1900000,600000,0,2.999994000012,2800000,1.8666654222230519
5,1,1,5300000,18600000,4,386,2700000,9700000,11900000,4200000,1,3.5094333001069247,28500000,1.5322579821366675
5,0,0,7000000,18300000,4,418,18400000,11700000,21500000,7600000,0,2.6142853408163798,59200000,3.2349725008211747
3,0,1,5800000,16700000,16,735,3900000,9400000,12600000,5600000,1,2.8793098483948536,31500000,1.8862274319624293
2,0,0,2600000,8400000,6,494,6500000,3800000,5600000,2000000,0,3.2307679881661584,17900000,2.1309521272676037
2,0,0,1900000,6500000,18,671,600000,2500000,4800000,1100000,1,3.4210508310258785,9000000,1.384615171597666
4,1,0,5700000,14800000,16,697,14300000,7800000,12900000,6300000,1,2.5964907725454784,41300000,2.7905403519905168
0,1,0,9000000,33500000,8,801,11600000,8900000,35400000,11100000,1,3.722221808642021,67000000,1.9999999402985091
2,0,0,8500000,29400000,12,576,17600000,5600000,25200000,9000000,1,3.4588231224913972,57400000,1.9523808859734393
0,0,0,700000,1400000,14,639,1900000,700000,2400000,900000,1,1.9999971428612244,5900000,4.214282704083783
4,1,0,3500000,8900000,4,470,1300000,2200000,12300000,2000000,0,2.542856416326738,17800000,1.9999997752809242
0,0,0,8800000,31200000,4,826,2900000,500000,33300000,8600000,1,3.545454142562029,45300000,1.4519230303870823
2,0,1,9900000,21200000,16,363,25500000,11400000,26600000,6800000,0,2.1414139251097044,70300000,3.3160375794321895
3,1,0,3600000,8600000,20,613,9400000,300000,10300000,3300000,1,2.3888882253088264,23300000,2.7093020105462777
3,0,1,3000000,8200000,16,713,5300000,5800000,11000000,3400000,1,2.7333324222225257,25500000,3.1097557183224733
2,1,0,6800000,21200000,16,439,17100000,4700000,23300000,3600000,0,3.117646600346088,48700000,2.2971697029636933
5,0,1,1100000,3800000,18,387,1300000,1200000,3800000,1600000,0,3.454542314052442,7900000,2.078946821329784
1,0,1,8700000,28300000,8,402,20400000,13600000,27900000,10200000,0,3.2528731893249208,72100000,2.54770309018717
4,1,1,2000000,8000000,6,837,5100000,2600000,3900000,2900000,1,3.999998000001,14500000,1.8124997734375283
2,0,0,9800000,37600000,10,641,24100000,0,23400000,7600000,1,3.836734302374051,55100000,1.4654254929408113
4,1,0,5700000,21100000,18,489,500000,4300000,12500000,6000000,0,3.701753736534432,23300000,1.1042653505087512
4,1,0,8800000,20700000,18,540,19200000,3200000,22400000,12700000,0,2.3522724599690386,57500000,2.777777643585621
4,1,0,3800000,8900000,4,844,9100000,3500000,13100000,4700000,1,2.3421046468145668,30400000,3.4157299532887695
1,1,0,1700000,6400000,10,452,900000,1100000,5600000,2100000,0,3.764703667821372,9700000,1.5156247631836308
2,1,0,1000000,2000000,10,366,1200000,400000,3200000,1300000,0,1.999998000002,6100000,3.0499984750007627
5,1,0,300000,1100000,2,300,100000,500000,700000,400000,1,3.666654444485185,1700000,1.545453140497145
2,1,1,6600000,15000000,18,470,1200000,4800000,18200000,7000000,0,2.272726928374708,31200000,2.0799998613333424
2,0,0,8700000,25000000,20,861,14700000,8500000,23200000,7300000,1,2.87356288809622,53700000,2.1479999140800032
4,1,0,9400000,29400000,12,562,25900000,15200000,36400000,7100000,1,3.1276592417383786,84600000,2.8775509225322815
0,1,0,4400000,10800000,14,463,2400000,4800000,13800000,4700000,0,2.4545448966943417,25700000,2.3796294092935733
4,0,0,400000,900000,12,478,700000,100000,1200000,100000,0,2.2499943750140625,2100000,2.3333307407436212
2,0,1,300000,1100000,2,702,300000,200000,500000,200000,1,3.666654444485185,1200000,1.0909080991744553
2,0,1,4300000,12900000,20,618,11400000,3600000,11400000,2400000,1,2.999999302325744,28800000,2.2325579664683746
4,1,0,1600000,4500000,12,633,700000,1700000,4100000,1900000,1,2.8124982421885987,8400000,1.8666662518519441
5,0,1,6200000,23600000,10,331,18500000,10300000,23800000,8700000,0,3.8064509989595163,61300000,2.5974575170568848
3,0,1,4200000,9700000,16,841,7800000,300000,16700000,5100000,1,2.309523259637319,29900000,3.0824739090233084
4,0,1,9000000,18100000,12,764,600000,16500000,20800000,11600000,1,2.011110887654346,49500000,2.7348064787399737
0,1,0,2700000,10600000,6,591,1300000,2700000,9900000,1800000,1,3.925924471879825,15700000,1.4811319357422703
1,1,1,9700000,35900000,2,719,19600000,7600000,20400000,10900000,1,3.701030546285511,58500000,1.6295264170048351
2,1,0,3300000,6800000,14,317,3400000,300000,11700000,3600000,0,2.060605436180171,19000000,2.79411723615923
0,0,0,300000,1100000,8,778,800000,200000,900000,100000,1,3.666654444485185,2000000,1.8181801652907588
3,1,1,7400000,18200000,14,302,5600000,3100000,17900000,5000000,0,2.459459127100118,31600000,1.736263640864635
5,0,0,7100000,19700000,8,502,7300000,5600000,25300000,9800000,0,2.7746474965285217,48000000,2.436548099667609
5,0,1,7300000,22100000,18,879,19500000,10600000,19300000,9800000,1,3.027396845562076,59200000,2.678732910464574
1,0,0,8400000,23400000,14,437,15400000,5800000,33400000,8100000,0,2.785713954081672,62700000,2.679487064979185
0,0,1,3300000,10800000,12,797,600000,6000000,7700000,3300000,1,3.272726280992036,17600000,1.6296294787380112
4,0,1,5800000,23200000,18,456,16100000,4200000,22600000,7500000,0,3.9999993103449465,50400000,2.1724136994649266
0,0,0,600000,1600000,6,647,1500000,600000,1500000,700000,1,2.6666622222296295,4300000,2.6874983203135496
0,0,0,7200000,15800000,12,379,12700000,12200000,21500000,3600000,0,2.1944441396605363,50000000,3.1645567617369137
1,0,1,9100000,32900000,2,717,2200000,2000000,23600000,5900000,1,3.6153842180896465,33700000,1.0243160782882652
5,1,0,900000,2300000,16,545,100000,200000,2700000,800000,0,2.5555527160525378,3800000,1.6521731947073066
2,1,0,800000,3200000,8,317,300000,1000000,2000000,900000,0,3.99999500000625,4200000,1.3124995898438783
1,0,0,8500000,32900000,10,570,5100000,6200000,20500000,5500000,1,3.8705877799308492,37300000,1.1337385673635694
0,0,1,9000000,18700000,18,865,26800000,0,20900000,11300000,1,2.0777775469136057,59000000,3.1550800451828853
3,1,0,7000000,19500000,14,719,12200000,10300000,18200000,10200000,1,2.785713887755159,50900000,2.610256276397114
3,1,0,200000,600000,16,821,400000,100000,500000,100000,1,2.9999850000749997,1100000,1.8333302777828704
4,0,1,400000,800000,10,859,900000,500000,800000,200000,1,1.9999950000125,2400000,2.9999962500046875
3,0,0,5100000,18200000,10,395,100000,8000000,15500000,6300000,0,3.568626751249657,29900000,1.642857052590272
2,0,1,700000,2600000,12,429,1600000,1300000,2700000,800000,0,3.7142804081708456,6400000,2.4615375147932634
3,1,0,400000,1200000,12,861,200000,600000,1100000,200000,1,2.99999250001875,2100000,1.749998541667882
0,0,1,9500000,20800000,14,565,15100000,11900000,33900000,13400000,1,2.1894734537396365,74300000,3.5721152128790763
5,1,0,8800000,22600000,10,357,7900000,8600000,18200000,4900000,0,2.5681815263430083,39600000,1.7522123118490127
3,0,1,1800000,3600000,18,465,600000,500000,5400000,2600000,0,1.9999988888895062,9100000,2.527777075617479
4,0,1,6800000,13900000,8,479,11700000,9100000,25700000,9600000,0,2.0441173464533313,56100000,4.035970932663962
3,0,0,1500000,5500000,16,717,2100000,800000,4400000,1300000,1,3.6666642222238517,8600000,1.5636360793388946
3,1,0,1600000,5500000,12,425,600000,800000,5400000,900000,0,3.4374978515638426,7700000,1.3999997454545918
2,0,0,4600000,16700000,2,786,200000,5900000,13900000,6100000,1,3.6304339933839147,26100000,1.5628741579117271
5,0,1,2200000,6700000,6,382,4400000,1300000,8600000,1100000,0,3.045453161157654,15400000,2.298507119625803
3,0,1,2900000,8500000,12,564,1000000,3100000,7500000,1800000,1,2.9310334720574236,13400000,1.576470402768188
0,1,0,200000,700000,8,501,500000,200000,700000,100000,0,3.4999825000874996,1500000,2.1428540816370263
2,0,1,2500000,9400000,10,727,6600000,4100000,9500000,3300000,1,3.7599984960006014,23500000,2.4999997340425817
4,0,0,3600000,7500000,6,894,1100000,6500000,7400000,2800000,1,2.08333275462979,17800000,2.3733330168889313
0,1,1,5500000,16700000,18,829,5500000,1300000,12800000,5900000,1,3.036363084297621,25500000,1.526946016350538
4,0,0,6600000,17400000,20,506,2600000,10000000,25900000,7200000,0,2.636363236914661,45700000,2.6264366306645615
2,1,1,8600000,32100000,6,802,9400000,16700000,24500000,9800000,1,3.732557705516546,60400000,1.8816198790772622
5,0,0,600000,1500000,14,543,300000,900000,2100000,300000,0,2.499995833340278,3600000,2.3999984000010666
3,1,1,1400000,3200000,20,772,2400000,900000,5100000,1600000,1,2.2857126530623906,10000000,3.1249990234378053
3,1,0,4000000,11100000,12,572,9700000,100000,12500000,2400000,1,2.7749993062501734,24700000,2.2252250247545025
0,0,1,4900000,11900000,16,709,14600000,900000,18500000,3800000,1,2.4285709329447074,37800000,3.176470321305015
5,1,0,2000000,6200000,18,402,4000000,2100000,7200000,1100000,0,3.099998450000775,14400000,2.3225802705515695
1,0,1,5200000,19300000,8,481,14300000,9500000,18800000,4200000,0,3.711537747781202,46800000,2.424870340680293
5,1,1,8900000,28800000,6,772,13600000,5500000,20400000,8400000,1,3.2359546925893605,47900000,1.6631943866946393
1,1,1,6500000,20600000,2,306,15900000,1900000,18100000,3200000,1,3.16923028165688,39100000,1.8980581602884388
2,0,0,1300000,4500000,6,415,0,900000,2900000,1200000,0,3.461535798818616,5000000,1.1111108641975858
3,0,0,9400000,35000000,16,548,18200000,4400000,36100000,4800000,0,3.7234038592123553,63500000,1.8142856624489812
5,0,0,5000000,11200000,8,701,9100000,500000,14000000,4600000,1,2.2399995520000897,28200000,2.5178569180484893
2,1,0,3000000,7700000,12,890,4700000,4300000,8400000,2100000,1,2.5666658111113962,19500000,2.532467203575688
5,0,1,9900000,33300000,6,364,5300000,18700000,27800000,8300000,0,3.363636023875149,60100000,1.804804750606464
5,1,1,700000,1300000,20,704,1600000,0,2200000,600000,1,1.8571402040854228,4400000,3.3846127810670916
3,1,1,4000000,10600000,10,318,1500000,5100000,8000000,4900000,0,2.649999337500166,19500000,1.8396224679601445
5,0,0,3100000,9600000,2,761,5800000,1800000,10400000,4200000,1,3.096773194589292,22200000,2.3124997591146084
4,0,0,4500000,15100000,6,693,3700000,1500000,17800000,6000000,1,3.355554809876709,29000000,1.9205296741371076
3,0,0,9700000,20600000,16,524,24200000,11100000,27400000,6100000,0,2.123711121266895,68800000,3.33980566311623
2,0,1,2000000,5300000,10,681,4900000,1400000,4300000,2900000,1,2.6499986750006626,13500000,2.5471693307227676
2,1,1,8100000,22300000,18,737,22300000,12600000,27000000,7300000,1,2.7530860798659162,69200000,3.1031388742987054
0,0,0,5700000,15900000,16,638,100000,9500000,16300000,4500000,1,2.789473194829264,30400000,1.9119495652861909
4,0,0,5800000,12800000,2,656,500000,5000000,16000000,2800000,1,2.206896171224798,24300000,1.8984373516845818
1,1,0,1800000,6500000,6,540,2500000,3200000,5000000,1100000,0,3.611109104939386,11800000,1.8153843360947175
4,0,1,9100000,35200000,6,341,1000000,300000,23100000,8200000,0,3.8681314430624787,32600000,0.9261363373256722
0,0,1,4800000,17500000,2,371,11700000,6800000,18700000,3500000,1,3.6458325737848805,40700000,2.3257141528163343
3,0,1,3800000,10500000,12,886,4000000,500000,14900000,2300000,1,2.763157167590219,21700000,2.0666664698412887
0,0,0,1900000,4100000,18,801,400000,800000,4800000,1200000,1,2.157893601108631,7200000,1.7560971326592358
3,0,1,3600000,9500000,16,748,7700000,2400000,9700000,2600000,1,2.638888155864401,22400000,2.3578944886426854
2,0,1,7400000,28200000,8,376,21900000,5000000,17400000,5200000,0,3.8108102958364465,49500000,1.7553190866908126
4,0,1,6600000,14300000,8,371,10800000,9500000,18500000,7400000,0,2.1666663383838882,46200000,3.2307690048413282
2,1,0,1800000,5300000,6,826,4500000,700000,6500000,1300000,1,2.944442808642884,13000000,2.452829725881184
4,0,0,9200000,27200000,12,873,4500000,1800000,33800000,11400000,1,2.956521417769411,51500000,1.8933822833315337
5,0,1,2400000,8600000,8,309,500000,600000,5700000,2800000,0,3.5833318402784,9600000,1.1162789399675652
4,0,0,5600000,13300000,20,869,3300000,7500000,20000000,6500000,1,2.3749995758929328,37300000,2.804511067329995
5,1,0,3800000,13900000,12,534,4700000,2900000,8200000,2800000,0,3.6578937742384805,18600000,1.3381294001345756
3,0,1,4500000,17900000,6,787,9800000,3600000,14300000,4200000,1,3.977776893827357,31900000,1.7821228054679996
0,1,1,900000,2200000,16,566,100000,700000,2000000,600000,1,2.4444417283980795,3400000,1.545453842975526
0,0,0,2800000,9900000,8,742,4900000,1300000,6700000,1700000,1,3.5357130229596345,14600000,1.4747473257830983
2,0,0,7500000,23100000,4,824,12100000,10900000,26300000,9500000,1,3.0799995893333882,58800000,2.5454544352617128
4,1,0,1400000,3100000,14,575,3000000,2100000,4900000,1400000,1,2.214284132654191,11400000,3.677418168574784
2,1,1,3800000,10900000,10,766,1900000,3900000,8600000,3000000,1,2.868420297784132,17400000,1.5963301287770524
1,0,1,1700000,5000000,10,888,2900000,900000,4100000,2200000,1,2.941174740485447,10100000,2.0199995960000807
3,1,1,9000000,30400000,6,638,16800000,11000000,26900000,9200000,1,3.3777774024691776,63900000,2.1019736150666573
5,0,1,7300000,23300000,6,622,7100000,11600000,26400000,10500000,1,3.1917803846876187,55600000,2.3862659920057516
1,0,0,7400000,19800000,18,458,12600000,6200000,27700000,4000000,0,2.6756753140979304,50500000,2.5505049216916706
1,0,0,9000000,28200000,16,327,1700000,2300000,24000000,11200000,0,3.133332985185224,39200000,1.3900708726925222
0,0,0,3000000,6500000,2,612,8800000,3400000,6700000,1700000,1,2.166665944444685,20600000,3.16923028165688
1,1,0,800000,2900000,8,682,2200000,1100000,2900000,700000,1,3.6249954687556643,6900000,2.3793095243760263
2,1,0,4800000,13200000,2,583,13700000,5800000,9500000,5200000,1,2.749999427083453,34200000,2.590908894628114
5,0,0,6400000,18300000,8,697,10000000,3600000,22500000,3600000,1,2.859374553222726,39700000,2.169398788557443
3,1,0,9200000,27100000,12,306,5800000,11500000,28000000,9600000,0,2.9456518537334944,54900000,2.0258301835487016
4,0,1,400000,1500000,2,669,0,600000,900000,500000,1,3.7499906250234374,2000000,1.333332444445037
2,0,0,2800000,6000000,18,816,6300000,4200000,8000000,3400000,1,2.142856377551294,21900000,3.649999391666768
4,0,1,8500000,28900000,20,455,15200000,5800000,22500000,9400000,0,3.399999600000047,52900000,1.8304497636522574
3,1,1,4700000,16400000,10,318,11400000,8100000,16200000,4300000,0,3.4893609597104343,40000000,2.439024241522912
4,0,1,9800000,21200000,20,355,22000000,8900000,31800000,14400000,0,2.1632650853811137,77100000,3.636792281283383
2,0,1,3800000,8900000,16,389,200000,5600000,12200000,2200000,0,2.3421046468145668,20200000,2.2696626663300377
2,1,0,500000,1500000,2,888,1500000,300000,1500000,600000,1,2.999994000012,3900000,2.5999982666678223
2,1,1,6900000,15600000,6,352,13000000,5300000,22600000,10000000,0,2.260869237555183,50900000,3.2628203036653654
4,0,1,9600000,30100000,12,870,300000,6700000,38200000,5600000,1,3.135416340060798,50800000,1.687707585125994
3,0,0,2900000,6500000,18,827,8300000,600000,10400000,3200000,1,2.241378537455677,22500000,3.4615379289941646
2,1,0,9800000,20900000,12,768,3400000,10200000,38600000,13400000,1,2.1326528436068526,65600000,3.1387558306815393
0,1,0,7100000,15400000,18,707,10300000,10800000,19600000,5800000,1,2.1690137790121438,46500000,3.0194803234103684
1,0,1,7700000,19100000,10,355,11300000,4900000,21900000,6600000,0,2.4805191583741353,44700000,2.340314013596125
3,1,0,1400000,3300000,2,652,100000,2100000,3500000,1900000,1,2.3571411734705903,7600000,2.303029605142544
3,1,0,7800000,15900000,2,665,14400000,900000,27200000,5400000,1,2.038461277120349,47900000,3.01257842688186
5,0,1,1700000,6000000,18,420,500000,1600000,3700000,2300000,0,3.529409688582536,8100000,1.3499997750000374
2,0,0,8500000,32700000,18,471,12600000,9400000,33900000,12500000,0,3.847058370934309,68400000,2.0917430552983776
5,0,0,1900000,7500000,20,715,5100000,2800000,6500000,2800000,1,3.947366343491398,17200000,2.2933330275555965
2,0,1,6700000,15200000,10,689,0,8200000,15000000,6800000,1,2.268656377812481,30000000,1.9736840806786788
3,1,1,6900000,16400000,4,787,11100000,6100000,26400000,3800000,1,2.3768112497375,47400000,2.890243726204651
2,1,0,2600000,7800000,4,819,3100000,4300000,5700000,1500000,1,2.99999884615429,14600000,1.871794631821201
4,1,1,9600000,21100000,6,809,16100000,9500000,34700000,8700000,1,2.197916437717038,69000000,3.2701420251117526
1,0,1,6800000,17000000,2,744,15500000,3900000,23700000,3500000,1,2.499999632352995,46600000,2.74117630934257
0,0,0,3200000,11300000,6,484,3500000,5500000,8500000,2100000,0,3.53124889648472,19600000,1.7345131208395468
4,0,0,2900000,10400000,6,673,5100000,1700000,10600000,1700000,1,3.5862056599290826,19100000,1.836538284948242
3,1,1,7900000,21200000,18,695,13800000,10600000,21800000,4900000,1,2.683543964108359,51100000,2.4103772447935263
4,0,1,3900000,12400000,12,473,6400000,4700000,13100000,3800000,0,3.1794863642342657,28000000,2.2580643340270696
4,1,1,4600000,11000000,2,491,9000000,4000000,16100000,3500000,0,2.3913038279774286,32600000,2.9636360942149005
3,0,1,700000,1700000,8,733,1200000,800000,2400000,500000,1,2.4285679591886296,4900000,2.882351245675738
0,0,0,5200000,15600000,20,434,14100000,5800000,18100000,5500000,0,2.999999423077034,43500000,2.7884613597140153
3,0,1,5900000,20600000,10,777,1900000,4600000,21200000,6400000,1,3.4915248319449437,34100000,1.6553397254689453
4,1,0,7200000,19100000,4,774,9400000,7000000,17900000,3600000,1,2.652777409336471,37900000,1.984293089827587
1,0,1,8700000,27000000,10,717,25500000,8600000,17500000,9100000,1,3.1034479191439175,60700000,2.248148064883405
3,0,1,1100000,3500000,12,503,3000000,400000,2200000,1200000,0,3.181815289258828,6800000,1.9428565877552606
1,1,1,4000000,10900000,14,598,3600000,6600000,13600000,4400000,1,2.72499931875017,28200000,2.587155725949016
2,1,0,9800000,32400000,2,543,24200000,17500000,25700000,7700000,1,3.306122111620193,75100000,2.317901163027742
0,0,1,2700000,6800000,20,796,700000,4200000,7000000,1900000,1,2.5185175857342275,13800000,2.02941146626302
3,0,1,8800000,34600000,8,386,14800000,16500000,18400000,6000000,0,3.931817735020712,55700000,1.609826543068597
5,0,1,3300000,7800000,16,632,8500000,500000,7100000,4900000,1,2.3636356473831373,21000000,2.692307347140084
1,1,1,6900000,23400000,4,481,18700000,1100000,23400000,10200000,1,3.3913038563327746,53400000,2.2820511845277274
3,1,1,900000,3500000,4,770,700000,0,2000000,600000,0,3.8888845679060355,3300000,0.9428568734694647
3,1,1,4100000,15500000,6,667,2800000,1600000,14700000,4000000,1,3.7804868828080775,23100000,1.4903224844953236
3,0,1,4700000,17500000,8,585,1200000,3100000,9600000,4900000,1,3.723403463105646,18800000,1.0742856528979627
5,1,1,3400000,11600000,16,479,9200000,5700000,11200000,2400000,0,3.4117637024224403,28500000,2.4568963399227295
2,1,0,9600000,22500000,18,851,7400000,16200000,24300000,12700000,1,2.3437497558594003,60600000,2.693333213629635
3,0,1,7000000,16200000,6,378,20000000,12600000,20300000,5500000,0,2.3142853836735164,58400000,3.6049380490778984
5,1,0,5700000,12900000,18,807,4100000,900000,18600000,5500000,1,2.263157497691667,29100000,2.255813778619087
1,0,1,8200000,32400000,18,831,22800000,12300000,17700000,7800000,1,3.951219030339143,60600000,1.8703703126428917
